35,191
38,148
53,114
112,88
207,94

177,40
90,62
53,114
51,178
268,161
361,76

51,178
67,231
187,303
377,271
450,242
267,161
162,144

361,76
435,64
481,74
505,115
480,187
450,242
377,271
329,187
340,112

481,74
459,114
479,139
528,169
592,162
603,112
589,91
558,78
532,67
492,67

592,162
626,157
634,136
628,126
574,102
531,134

492,60
505,58
532,67
532,133
503,114
492,99

442,405
511,405
509,383
467,368

442,405
467,368
452,302
406,259
390,265
394,307
410,358

452,302
450,242
405,131
340,111
329,188

375,405
315,405
348,376
368,384

315,405
300,364
296,318
340,355
348,376

340,355
300,364
296,318
330,189
344,315

136,405
123,386
186,372
208,382
218,390
219,402

123,386
186,372
183,359
123,351

123,351
183,359
187,303
115,214
105,295

27,371
27,354
51,315
89,390
83,405

51,315
67,231
115,215
105,295
93,338
80,372
60,372

