-0.84560,0.33215
-0.83614,0.54450
-0.78882,0.71240
-0.60270,0.84079
-0.30301,0.81116
-0.72023,0.44548
-0.55986,0.80159
-0.74384,0.66919
-0.72945,0.66996
-0.81829,0.36715
-0.81635,0.41644
-0.78096,0.53446
-0.62718,0.78015
-0.52874,0.62057
-0.81661,0.60617
-0.46275,0.73881
-0.72638,0.64819
-0.78753,0.68053
-0.62671,0.53015
-0.42531,0.73110
-0.75919,0.69154
-0.67502,0.51852
-0.48725,0.82926
-0.66449,0.62914
-0.72823,0.64384
-0.66320,0.68847
-0.67504,0.62636
-0.42276,0.77450
-0.72212,0.50368
-0.50098,0.71499
-0.71038,0.57891
-0.53803,0.73195
-0.62374,0.57380
-0.69917,0.59290
-0.68174,0.70652
-0.75248,0.46646
-0.75586,0.50189
-0.70763,0.62364
-0.47986,0.78856
-0.56322,0.80132
-0.39765,1.07783
-0.67210,0.96919
-0.78882,0.71240
-0.79513,0.39635
-0.11058,0.48030
0.18279,0.90005
-0.76477,0.59849
-0.29794,0.60217
-0.30602,0.91769
-0.56067,0.42538
-0.07048,0.74206
-0.11955,0.92551
-0.06275,0.64395
-0.31447,0.57711
-0.00560,0.87413
-0.27443,0.47168
-0.27728,0.62039
-0.42918,0.77660
-0.38323,0.74398
-0.55119,0.91727
-0.40344,0.66991
-0.39388,0.54216
-0.18536,0.81058
-0.37712,0.87007
-0.13268,0.90220
0.02845,0.86320
-0.35383,0.98770
-0.15246,0.67853
-0.70603,0.58121
-0.42347,0.68249
-0.01939,0.73001
-0.60485,0.90824
-0.58175,0.55122
-0.48958,0.52316
-0.73423,0.73738
-0.55129,0.85849
-0.13574,0.82100
-0.41950,0.66450
-0.70131,0.65429
-0.27893,0.96906
-0.79513,0.39635
-0.74465,0.13462
-0.36610,-0.22094
0.23326,-0.06291
0.46355,0.08030
-0.11374,0.48030
-0.44497,0.56425
-0.43073,-0.09636
-0.17409,0.24140
-0.30248,0.14309
-0.06484,0.11176
0.21169,0.22564
0.00175,-0.00669
-0.30334,0.09738
-0.49417,0.51501
-0.23836,0.13672
-0.28497,0.30438
-0.25563,0.15313
-0.75030,0.32521
-0.16097,0.48970
0.18150,-0.06498
-0.26686,0.24048
-0.11265,0.35310
0.42508,0.08759
-0.28655,0.04495
-0.62580,0.15661
-0.04314,-0.02850
0.13897,0.27163
-0.42907,-0.05282
-0.03908,0.15415
-0.27981,0.48511
-0.30647,0.35016
0.26136,0.06285
0.03178,0.05650
-0.44510,-0.02163
-0.32885,0.24749
-0.44486,-0.13483
-0.31600,0.22864
-0.51812,0.00024
-0.57773,0.43511
0.18279,0.90005
0.41623,0.95931
0.56134,0.90993
0.63705,0.70746
0.55819,0.35190
0.46355,0.08030
